"","id","title","categories","abstract","doi","created","updated","authors","one_l","astro.ph","cond.mat","gr.qc","hep.ex","hep.lat","hep.ph","hep.th","math.ph","nlin","nucl.ex","nucl.th","physics","quant.ph","math","CoRR","q.bio","q.fin","stat","stat.ap","stat.co","stat.ml","stat.me","stat.ot","stat.th"
"1",705.0418,"various approaches for predicting land cover in mountain areas","stat.ap stat.me","using former maps, geographers intend to study the evolution of the land cover in order to have a prospective approach on the future landscape; predictions of the future land cover, by the use of older maps and environmental variables, are usually done through the gis (geographic information system). we propose here to confront this classical geographical approach with statistical approaches: a linear parametric model (polychotomous regression modeling) and a nonparametric one (multilayer perceptron). these methodologies have been tested on two real areas on which the land cover is known at various dates; this allows us to emphasize the benefit of these two statistical approaches compared to gis and to discuss the way gis could be improved by the use of statistical models.","10.1080/03610910601096379","2007-05-03","","['nathalie villa', 'martin paegelow', 'maria t. camacho olmedo', 'laurence cornez', 'frédéric ferraty', 'louis ferré', 'pascal sarda']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"2",705.07,"inflated beta distributions","stat.me","this paper considers the issue of modeling fractional data observed in the interval [0,1), (0,1] or [0,1]. mixed continuous-discrete distributions are proposed. the beta distribution is used to describe the continuous component of the model since its density can have quite diferent shapes depending on the values of the two parameters that index the distribution. properties of the proposed distributions are examined. also, maximum likelihood and method of moments estimation is discussed. finally, practical applications that employ real data are presented.","10.1007/s00362-008-0125-4","2007-05-04","2007-11-11","['raydonal ospina', 'silvia l. p. ferrari']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"3",705.3693,"morphing ensemble kalman filters","math.ds cs.cv math.st physics.ao-ph stat.me stat.th","a new type of ensemble filter is proposed, which combines an ensemble kalman filter (enkf) with the ideas of morphing and registration from image processing. this results in filters suitable for nonlinear problems whose solutions exhibit moving coherent features, such as thin interfaces in wildfire modeling. the ensemble members are represented as the composition of one common state with a spatial transformation, called registration mapping, plus a residual. a fully automatic registration method is used that requires only gridded data, so the features in the model state do not need to be identified by the user. the morphing enkf operates on a transformed state consisting of the registration mapping and the residual. essentially, the morphing enkf uses intermediate states obtained by morphing instead of linear combinations of the states.","10.1111/j.1600-0870.2007.00275.x","2007-05-25","2007-08-23","['jonathan d. beezley', 'jan mandel']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"4",706.0073,"modeling hourly ozone concentration fields","stat.ap","this paper presents a dynamic linear model for modeling hourly ozone concentrations over the eastern united states. that model, which is developed within an bayesian hierarchical framework, inherits the important feature of such models that its coefficients, treated as states of the process, can change with time. thus the model includes a time--varying site invariant mean field as well as time varying coefficients for 24 and 12 diurnal cycle components. this cost of this model's great flexibility comes at the cost of computational complexity, forcing us to use an mcmc approach and to restrict application of our model domain to a small number of monitoring sites. we critically assess this model and discover some of its weaknesses in this type of application.","","2007-06-01","","['yiping dou', 'nhu d le', 'james v zidek']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",706.1401,"controlling for individual heterogeneity in longitudinal models, with   applications to student achievement","stat.ap","longitudinal data tracking repeated measurements on individuals are highly valued for research because they offer controls for unmeasured individual heterogeneity that might otherwise bias results. random effects or mixed models approaches, which treat individual heterogeneity as part of the model error term and use generalized least squares to estimate model parameters, are often criticized because correlation between unobserved individual effects and other model variables can lead to biased and inconsistent parameter estimates. starting with an examination of the relationship between random effects and fixed effects estimators in the standard unobserved effects model, this article demonstrates through analysis and simulation that the mixed model approach has a ``bias compression'' property under a general model for individual heterogeneity that can mitigate bias due to uncontrolled differences among individuals. the general model is motivated by the complexities of longitudinal student achievement measures, but the results have broad applicability to longitudinal modeling.","10.1214/07-ejs057","2007-06-11","","['j. r. lockwood', 'daniel f. mccaffrey']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",706.2281,"some questions of monte-carlo modeling on nontrivial bundles","math-ph math.mp stat.co","in this work are considered some questions of monte-carlo modeling on nontrivial bundles. as a basic example is used problem of generation of straight lines in 3d space, related with modeling of interaction of a solid body with a flux of particles and with some other tasks. space of lines used in given model is example of nontrivial fiber bundle, that is equivalent with tangent sheaf of a sphere.","","2007-06-15","2007-06-21","['alexander yu. vlasov']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"7",707.0878,"risk analysis in robust control -- making the case for probabilistic   robust control","math.oc cs.sy math.st stat.th","this paper offers a critical view of the ""worst-case"" approach that is the cornerstone of robust control design. it is our contention that a blind acceptance of worst-case scenarios may lead to designs that are actually more dangerous than designs based on probabilistic techniques with a built-in risk factor. the real issue is one of modeling. if one accepts that no mathematical model of uncertainties is perfect then a probabilistic approach can lead to more reliable control even if it cannot guarantee stability for all possible cases. our presentation is based on case analysis. we first establish that worst-case is not necessarily ""all-encompassing."" in fact, we show that for some uncertain control problems to have a conventional robust control solution it is necessary to make assumptions that leave out some feasible cases. once we establish that point, we argue that it is not uncommon for the risk of unaccounted cases in worst-case design to be greater than that of the accepted risk in a probabilistic approach. with an example, we quantify the risks and show that worst-case can be significantly more risky. finally, we join our analysis with existing results on computational complexity and probabilistic robustness to argue that the deterministic worst-case analysis is not necessarily the better tool.","","2007-07-05","","['xinjia chen', 'jorge aravena', 'kemin zhou']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"8",707.2257,"a bayes method for a bathtub failure rate via two $\mathbf{s}$-paths","stat.me","a class of semi-parametric hazard/failure rates with a bathtub shape is of interest. it does not only provide a great deal of flexibility over existing parametric methods in the modeling aspect but also results in a closed and tractable bayes estimator for the bathtub-shaped failure rate (bfr). such an estimator is derived to be a finite sum over two $\mathbf{s}$-paths due to an explicit posterior analysis in terms of two (conditionally independent) $\mathbf{s}$-paths. these, newly discovered, explicit results can be proved to be a rao-blackwellization of counterpart results in terms of partitions that are readily available by a specialization of james (2005)'s work. we develop both iterative and non-iterative computational procedures based on existing efficient monte carlo methods for sampling one single $\mathbf{s}$-path. nmerical simulations are given to demonstrate the practicality and the effectiveness of our methodology. last but not least, two applications of the proposed method are discussed, of which one is about a bayesian test for failure rates and the other is related to modeling with covariates.","","2007-07-15","","['man-wai ho']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9",707.3013,"application of probabilistic pcr5 fusion rule for multisensor target   tracking","stat.ap","this paper defines and implements a non-bayesian fusion rule for combining densities of probabilities estimated by local (non-linear) filters for tracking a moving target by passive sensors. this rule is the restriction to a strict probabilistic paradigm of the recent and efficient proportional conflict redistribution rule no 5 (pcr5) developed in the dsmt framework for fusing basic belief assignments. a sampling method for probabilistic pcr5 (p-pcr5) is defined. it is shown that p-pcr5 is more robust to an erroneous modeling and allows to keep the modes of local densities and preserve as much as possible the whole information inherent to each densities to combine. in particular, p-pcr5 is able of maintaining multiple hypotheses/modes after fusion, when the hypotheses are too distant in regards to their deviations. this new p-pcr5 rule has been tested on a simple example of distributed non-linear filtering application to show the interest of such approach for future developments. the non-linear distributed filter is implemented through a basic particles filtering technique. the results obtained in our simulations show the ability of this p-pcr5-based filter to track the target even when the models are not well consistent in regards to the initialization and real cinematic.","","2007-07-20","","['alois kirchner', 'frederic dambreville', 'francis celeste', 'jean dezert', 'florentin smarandache']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",708.0343,"dynamic modeling and statistical analysis of event times","stat.me","this review article provides an overview of recent work in the modeling and analysis of recurrent events arising in engineering, reliability, public health, biomedicine and other areas. recurrent event modeling possesses unique facets making it different and more difficult to handle than single event settings. for instance, the impact of an increasing number of event occurrences needs to be taken into account, the effects of covariates should be considered, potential association among the interevent times within a unit cannot be ignored, and the effects of performed interventions after each event occurrence need to be factored in. a recent general class of models for recurrent events which simultaneously accommodates these aspects is described. statistical inference methods for this class of models are presented and illustrated through applications to real data sets. some existing open research problems are described.","10.1214/088342306000000349","2007-08-02","","['edsel a. peña']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
