id,title,categories,abstract,doi,created,updated,authors
0705.0304,mod\'elisations prospectives de l'occupation du sol. le cas d'une   montagne m\'editerran\'eenne,stat.ap stat.me,"the authors apply three methods of prospective modelling to high resolution georeferenced land cover data in a mediterranean mountain area: gis approach, non linear parametric model and neuronal network. land cover prediction to the latest known date is used to validate the models. in the frame of spatial-temporal dynamics in open systems results are encouraging and comparable. correct prediction scores are about 73 %. the results analysis focuses on geographic location, land cover categories and parametric distance to reality of the residues. crossing the three models show the high degree of convergence and a relative similitude of the results obtained by the two statistic approaches compared to the gis supervised model. steps under work are the application of the models to other test areas and the identification of respective advantages to develop an integrated model.",,2007-05-02,2007-05-09,"['martin paegelow', 'nathalie villa', 'laurence cornez', 'frédéric ferraty', 'louis ferré', 'pascal sarda']"
0705.2605,sample eigenvalue based detection of high dimensional signals in white   noise using relatively few samples,math.st stat.th,"we present a mathematically justifiable, computationally simple, sample eigenvalue based procedure for estimating the number of high-dimensional signals in white noise using relatively few samples. the main motivation for considering a sample eigenvalue based scheme is the computational simplicity and the robustness to eigenvector modelling errors which are can adversely impact the performance of estimators that exploit information in the sample eigenvectors.   there is, however, a price we pay by discarding the information in the sample eigenvectors; we highlight a fundamental asymptotic limit of sample eigenvalue based detection of weak/closely spaced high-dimensional signals from a limited sample size. this motivates our heuristic definition of the effective number of identifiable signals which is equal to the number of ""signal"" eigenvalues of the population covariance matrix which exceed the noise variance by a factor strictly greater than 1+sqrt(dimensionality of the system/sample size). the fundamental asymptotic limit brings into sharp focus why, when there are too few samples available so that the effective number of signals is less than the actual number of signals, underestimation of the model order is unavoidable (in an asymptotic sense) when using any sample eigenvalue based detection scheme, including the one proposed herein. the analysis reveals why adding more sensors can only exacerbate the situation. numerical simulations are used to demonstrate that the proposed estimator consistently estimates the true number of signals in the dimension fixed, large sample size limit and the effective number of identifiable signals in the large dimension, large sample size limit.",,2007-05-17,,"['n. raj rao', 'alan edelman']"
0706.0787,construction of bayesian deformable models via stochastic approximation   algorithm: a convergence study,stat.co,"the problem of the definition and the estimation of generative models based on deformable templates from raw data is of particular importance for modelling non aligned data affected by various types of geometrical variability. this is especially true in shape modelling in the computer vision community or in probabilistic atlas building for computational anatomy (ca). a first coherent statistical framework modelling the geometrical variability as hidden variables has been given by allassonni\`ere, amit and trouv\'e (jrss 2006). setting the problem in a bayesian context they proved the consistency of the map estimator and provided a simple iterative deterministic algorithm with an em flavour leading to some reasonable approximations of the map estimator under low noise conditions. in this paper we present a stochastic algorithm for approximating the map estimator in the spirit of the saem algorithm. we prove its convergence to a critical point of the observed likelihood with an illustration on images of handwritten digits.",,2007-06-06,2009-01-16,"['stéphanie allassonnière', 'estelle kuhn', 'alain trouvé']"
0707.3794,binary models for marginal independence,math.st stat.th,"log-linear models are a classical tool for the analysis of contingency tables. in particular, the subclass of graphical log-linear models provides a general framework for modelling conditional independences. however, with the exception of special structures, marginal independence hypotheses cannot be accommodated by these traditional models. focusing on binary variables, we present a model class that provides a framework for modelling marginal independences in contingency tables. the approach taken is graphical and draws on analogies to multivariate gaussian models for marginal independence. for the graphical model representation we use bi-directed graphs, which are in the tradition of path diagrams. we show how the models can be parameterized in a simple fashion, and how maximum likelihood estimation can be performed using a version of the iterated conditional fitting algorithm. finally we consider combining these models with symmetry restrictions.",10.1111/j.1467-9868.2007.00636.x,2007-07-25,,"['mathias drton', 'thomas s. richardson']"
0707.4242,importance tempering,stat.co stat.ap,"simulated tempering (st) is an established markov chain monte carlo (mcmc) method for sampling from a multimodal density $\pi(\theta)$. typically, st involves introducing an auxiliary variable $k$ taking values in a finite subset of $[0,1]$ and indexing a set of tempered distributions, say $\pi_k(\theta) \propto \pi(\theta)^k$. in this case, small values of $k$ encourage better mixing, but samples from $\pi$ are only obtained when the joint chain for $(\theta,k)$ reaches $k=1$. however, the entire chain can be used to estimate expectations under $\pi$ of functions of interest, provided that importance sampling (is) weights are calculated. unfortunately this method, which we call importance tempering (it), can disappoint. this is partly because the most immediately obvious implementation is na\""ive and can lead to high variance estimators. we derive a new optimal method for combining multiple is estimators and prove that the resulting estimator has a highly desirable property related to the notion of effective sample size. we briefly report on the success of the optimal combination in two modelling scenarios requiring reversible-jump mcmc, where the na\""ive approach fails.",,2007-07-28,2008-11-03,"['robert b. gramacy', 'richard j. samworth', 'ruth king']"
0708.1071,statistical thinking: from tukey to vardi and beyond,math.st stat.th,"data miners (minors?) and neural networkers tend to eschew modelling, misled perhaps by misinterpretation of strongly expressed views of john tukey. i discuss vardi's views of these issues as well as other aspects of vardi's work in emision tomography and in sampling bias.",10.1214/074921707000000210,2007-08-08,,['larry shepp']
0708.1321,graphical methods for efficient likelihood inference in gaussian   covariance models,math.st stat.th,"in graphical modelling, a bi-directed graph encodes marginal independences among random variables that are identified with the vertices of the graph. we show how to transform a bi-directed graph into a maximal ancestral graph that (i) represents the same independence structure as the original bi-directed graph, and (ii) minimizes the number of arrowheads among all ancestral graphs satisfying (i). here the number of arrowheads of an ancestral graph is the number of directed edges plus twice the number of bi-directed edges. in gaussian models, this construction can be used for more efficient iterative maximization of the likelihood function and to determine when maximum likelihood estimates are equal to empirical counterparts.",,2007-08-09,2008-03-25,"['mathias drton', 'thomas s. richardson']"
0708.1566,markov chain modelling for reliability estimation of engineering systems   at different scales - some considerations,stat.ap stat.me,"the concepts of probability, statistics and stochastic theory are being successfully used in structural engineering. markov chain modelling is a simple stochastic process model that has found its application in both describing stochastic evolution of system and in system reliability estimation. the recent developments in markov chain monte carlo and the possible integration of bayesian theory within markov chain theory have enhanced its application possibilities. however, the application possibility can be furthered to range over wider scales of application (perhaps from nano- to macro-) by considering the developments in physics (in particular quantum physics). this paper tries to present the results of quantum physics that would help in interpretation of transition probability matrix. however, care has to be taken in the choice of densities in computing the transition probability matrix. the paper is based on available literature, and the aim is only to make an attempt to show how markov chain can be used to model systems at various scales.",,2007-08-11,,['k. balaji rao']
0708.1965,tail asymptotics and estimation for elliptical distributions,math.pr math.st stat.th,"let (x,y) be a bivariate elliptical random vector with associated random radius in the gumbel max-domain of attraction. in this paper we obtain a second order asymptotic expansion of the joint survival probability p(x > x, y> y) for x,y large. further, based on the asymptotic bounds we discuss some aspects of the statistical modelling of joint survival probabilities and the survival conditional excess probability.",,2007-08-14,2008-05-15,['enkelejd hashorva']
0709.0447,local mixture models of exponential families,math.st stat.th,"exponential families are the workhorses of parametric modelling theory. one reason for their popularity is their associated inference theory, which is very clean, both from a theoretical and a computational point of view. one way in which this set of tools can be enriched in a natural and interpretable way is through mixing. this paper develops and applies the idea of local mixture modelling to exponential families. it shows that the highly interpretable and flexible models which result have enough structure to retain the attractive inferential properties of exponential families. in particular, results on identification, parameter orthogonality and log-concavity of the likelihood are proved.",10.3150/07-bej6170,2007-09-04,,"['karim anaya-izquierdo', 'paul marriott']"
0709.2936,bayesian classification and regression with high dimensional features,stat.ml,"this thesis responds to the challenges of using a large number, such as thousands, of features in regression and classification problems.   there are two situations where such high dimensional features arise. one is when high dimensional measurements are available, for example, gene expression data produced by microarray techniques. for computational or other reasons, people may select only a small subset of features when modelling such data, by looking at how relevant the features are to predicting the response, based on some measure such as correlation with the response in the training data. although it is used very commonly, this procedure will make the response appear more predictable than it actually is. in chapter 2, we propose a bayesian method to avoid this selection bias, with application to naive bayes models and mixture models.   high dimensional features also arise when we consider high-order interactions. the number of parameters will increase exponentially with the order considered. in chapter 3, we propose a method for compressing a group of parameters into a single one, by exploiting the fact that many predictor variables derived from high-order interactions have the same values for all the training cases. the number of compressed parameters may have converged before considering the highest possible order. we apply this compression method to logistic sequence prediction models and logistic classification models.   we use both simulated data and real data to test our methods in both chapters.",,2007-09-18,,['longhai li']
0709.3427,mutual information for the selection of relevant variables in   spectrometric nonlinear modelling,cs.lg cs.ne stat.ap,"data from spectrophotometers form vectors of a large number of exploitable variables. building quantitative models using these variables most often requires using a smaller set of variables than the initial one. indeed, a too large number of input variables to a model results in a too large number of parameters, leading to overfitting and poor generalization abilities. in this paper, we suggest the use of the mutual information measure to select variables from the initial set. the mutual information measures the information content in input variables with respect to the model output, without making any assumption on the model that will be used; it is thus suitable for nonlinear modelling. in addition, it leads to the selection of variables among the initial set, and not to linear or nonlinear combinations of them. without decreasing the model performances compared to other variable projection methods, it allows therefore a greater interpretability of the results.",10.1016/j.chemolab.2005.06.010,2007-09-21,,"['fabrice rossi', 'amaury lendasse', 'damien françois', 'vincent wertz', 'michel verleysen']"
0710.3742,bayesian online changepoint detection,stat.ml,"changepoints are abrupt variations in the generative parameters of a data sequence. online detection of changepoints is useful in modelling and prediction of time series in application areas such as finance, biometrics, and robotics. while frequentist methods have yielded online filtering and prediction techniques, most bayesian papers have focused on the retrospective segmentation problem. here we examine the case where the model parameters before and after the changepoint are independent and we derive an online algorithm for exact inference of the most recent changepoint. we compute the probability distribution of the length of the current ``run,'' or time since the last changepoint, using a simple message-passing algorithm. our implementation is highly modular so that the algorithm may be applied to a variety of types of data. we illustrate this modularity by demonstrating the algorithm on three different real-world data sets.",,2007-10-19,,"['ryan prescott adams', 'david j. c. mackay']"
